Player,Club,POS,GP,GS,MINS,Year,Season
Ricci Greenwood,CLB,M,1,0,7,1996,reg
Rivers Guthrie,TB ,M,0,0,0,1996,reg
Ken Hesse,MET,F,1,1,90,1996,reg
Mirsad Huseinovic,MET,M,1,1,45,1996,reg
Mike Huwiler,DC ,M,5,3,247,1996,reg
Tayt Ianni,SJ ,D,6,3,287,1996,reg
Chris Brauchle,MET,M,5,3,323,1996,reg
Danny Barber,MET,M,1,1,90,1996,reg
Andrew Restrepo,MET,D,5,4,343,1996,reg
Travis Rinker,MET,M,3,0,31,1996,reg
Ed Pinon,COL,M,1,0,48,1996,reg
Sterling Wescott,DC ,M,2,1,102,1996,reg
Bojan Vuckovic,NE ,F,1,0,14,1996,reg
Rene Ortiz,DAL,D,2,1,96,1996,reg
Martin Munnelly,MET,M,1,0,23,1996,reg
Omid Namazi,MET,M,1,0,12,1996,reg
Brent Longenecker,MET,M,2,0,19,1996,reg
Francis Okaroh,NE ,D,20,20,1777,1996,reg
Thor Lee,DC ,D,2,2,134,1996,reg
Stan Lembryk,MET,M,1,0,9,1996,reg
Josh McKay,COL,M,4,1,125,1996,reg
Greg Lalas,TB ,D,3,1,94,1996,reg
Brandon Ward,CLB,M,6,3,304,1996,reg
Rafael Amaya,SJ ,D,7,0,97,1996,reg
Ben Crawley,DC ,F,5,0,82,1996,reg
Troy Edwards,COL,D,4,3,289,1996,reg
John Diffley,TB ,D,13,6,574,1996,reg
Erik Imler,DC ,M,19,15,1355,1996,reg
Louis Ken-Kwofie,MET,M,1,1,90,1996,reg
Mac Cozier,CLB,F,13,0,155,1996,reg
Tom Lips,NE ,D,8,5,473,1996,reg
Ed Puskarich,DAL,D,18,14,1238,1996,reg
Tommy Reasoner,KC ,D,13,7,646,1996,reg
Brandon Pollard,DAL,D,10,9,820,1996,reg
Richard Weiszmann,NE ,D,10,9,817,1996,reg
Patrick Tardieu,NE ,F,5,0,69,1996,reg
Jeff Zaun,MET,D,21,19,1584,1996,reg
Ryshiem Henderson,SJ ,F,3,0,78,1996,reg
Jorge Flores,DAL,M,8,3,292,1996,reg
Frank Yallop,TB ,D,29,28,2513,1996,reg
Shane Battelle,CLB,M,15,10,841,1996,reg
Oscar Draguicevich,SJ ,D,19,17,1416,1996,reg
Derek Backman,TB ,M,25,14,1368,1996,reg
Juan Suarez,DC ,F,2,2,160,1996,reg
Paul Young,CLB,F,4,1,137,1996,reg
Jimmy Glenn,DAL,F,9,0,115,1996,reg
Ian Butterworth,COL,D,17,17,1379,1996,reg
Ted Gillen,MET,D,15,9,819,1996,reg
Brian Bates,COL,M,19,7,896,1996,reg
Clint Peay,DC ,D,19,18,1665,1996,reg
Mickey Kydes,MET,M,11,7,556,1996,reg
Matt Knowles,MET,D,21,16,1589,1996,reg
Nelson Vargas,TB ,M,9,4,443,1996,reg
Dominic Kinnear,COL,M,14,11,973,1996,reg
Cristian da Silva,MET,D,20,12,1158,1996,reg
Janusz Michallik,CLB,M,31,28,2490,1996,reg
