Player,Club,POS,GP,GS,MINS,Year,Season
Mauro Manotas,HOU,F,9,0,102,2015,reg
Mikey Lopez,KC ,M,6,5,482,2015,reg
Ben Speas,CLB,M-F,8,2,215,2015,reg
Elias Vasquez,RSL,D,15,14,1264,2015,reg
Fred,PHI,M,6,0,83,2015,reg
Jason Hernandez,NYC,D,26,26,2294,2015,reg
Hernan Grana,CLB,D,7,7,598,2015,reg
Ethan White,PHI,D,16,13,1224,2015,reg
Josh Williams,CLB,D,17,17,1510,2015,reg
Eric Alexander,MTL,M,20,10,878,2015,reg
Dan Gargan,LA ,D,25,20,1784,2015,reg
Eric Miller,NSH,D,9,6,517,2015,reg
Justen Glad,RSL,D,7,6,551,2015,reg
Mark Sherrod,SJ ,F,6,2,232,2015,reg
Tim Parker,RBNY,D,15,14,1262,2015,reg
Miguel Aguilar,DC ,M,17,4,528,2015,reg
Richie Marquez,PHI,D,21,20,1854,2015,reg
Jimmy Medranda ,NSH,D,7,7,426,2015,reg
Marc Burch,COL,D,8,8,720,2015,reg
Khari Stephenson,SJ ,M,4,2,211,2015,reg
Pablo Alvarez,NYC,M,8,3,244,2015,reg
Hassoun Camara,MTL,D,9,5,478,2015,reg
Norberto Paparatto,POR,D,6,5,451,2015,reg
Markus Halsti,DC ,M-D,14,12,949,2015,reg
Michael Lahoud,PHI,M,19,14,1233,2015,reg
Seth Sinovic,NE,D,11,10,902,2015,reg
Edson Buddle,LA ,F,12,1,252,2015,reg
Darwin Jones,SEA,F,9,0,107,2015,reg
Micheal Azira,CHI,M,11,8,727,2015,reg
Oniel Fisher,DC,D,12,9,864,2015,reg
Manolo Sanchez,NYR,M,3,0,22,2015,reg
Erik Hurtado,SKC,F,9,1,182,2015,reg
Jordi Quintilla,KC ,M,8,3,274,2015,reg
Deybi Flores,VAN,M,9,5,446,2015,reg
Dane Richards,NYR,M,12,1,259,2015,reg
Chris Wingert,NYC,D,27,26,2169,2015,reg
Kristinn Steindorsson,CLB,M,21,4,621,2015,reg
Rolando Escobar,DAL,M,14,2,398,2015,reg
Osvaldo Alonso,MIN,M,22,21,1857,2015,reg
Leonardo,LA ,D,26,26,2264,2015,reg
Zach Scott,SEA,D,20,15,1481,2015,reg
Brian Carroll,PHI,M,22,21,1820,2015,reg
Sebastian Saucedo,RSL,F,9,1,168,2015,reg
Marc Pelosi,SJ ,M,12,7,653,2015,reg
Sebastian Velasquez,NYC,M,12,5,446,2015,reg
Walker Zimmerman,NSH,D,20,10,1084,2015,reg
Chad Marshall,SEA,D,29,28,2529,2015,reg
Demar Phillips,RSL,D,18,16,1376,2015,reg
Bernardo Añor,KC ,M,13,4,483,2015,reg
Je-Vaughn Watson,DAL,D,23,22,1986,2015,reg
JJ Koval,SJ ,M,17,7,738,2015,reg
Matt Polster,NE,D,30,27,2422,2015,reg
Axel Sjöberg,CLB,D,14,14,1259,2015,reg
Jermaine Jones,NE ,M,18,17,1312,2015,reg
Justin Mapp,MTL,M,5,3,264,2015,reg
Adam Nemec,NYC,F,9,8,594,2015,reg
Will Johnson,POR,D,12,12,1046,2015,reg
Mika Vayrynen,LA ,M,19,10,797,2015,reg
Tommy Thompson,SJ,D,17,4,465,2015,reg
Luis Garrido,HON,M,29,21,1983,2015,reg
Guilherme do Prado,CHI,F,15,6,577,2015,reg
Bradley Wright-Phillips,LAFC,F,34,32,2761,2016,reg
David Villa,NYC,F,33,32,2869,2016,reg
Sebastian Giovinco,TOR,F,28,28,2418,2016,reg
Ignacio Piatti,MTL,M,32,31,2818,2016,reg
Dom Dwyer,ORL,F,33,31,2823,2016,reg
Ola Kamara,DC,F,25,20,1859,2016,reg
Fanendo Adi,CLB,F,33,30,2649,2016,reg
Giovani dos Santos,LA,M,28,27,2350,2016,reg
Diego Valeri,POR,M,30,30,2634,2016,reg
Cyle Larin,ORL,F,32,29,2455,2016,reg
Chris Pontius,PHI,M,33,32,2571,2016,reg
Jordan Morris,SEA,F,34,32,2856,2016,reg
Frank Lampard,NYC,M,19,15,1280,2016,reg
Chris Wondolowski,SJ,F,30,30,2697,2016,reg
Kei Kamara,COL,F,30,30,2659,2016,reg
Kevin Molino,MIN,M,30,26,2316,2016,reg
Didier Drogba,CIV,F,22,18,1650,2016,reg
Jozy Altidore,TOR,F,23,16,1487,2016,reg
Robbie Keane,LA ,F,17,16,1426,2016,reg
Joao Plata,RSL,F,30,28,2478,2016,reg
Kaká,ORL,M,24,23,1955,2016,reg
Pedro Morales,VAN,M,27,26,2073,2016,reg
Lamar Neagle,DC,M,31,21,1950,2016,reg
David Accam,NSH,F,24,21,1935,2016,reg
Maximiliano Urruti,MTL,F,30,29,2482,2016,reg
Shkelzen Gashi,COL,M-F,26,25,2123,2016,reg
Roland Alberg,PHI,M,28,13,1153,2016,reg
Yura Movsisyan,RSL,F,29,25,2161,2016,reg
Michael Barrios,DAL,M,32,30,2454,2016,reg
Patrick Mullins,TOR,F,21,14,1278,2016,reg
Clint Dempsey,SEA,M-F,17,17,1429,2016,reg
Benny Feilhaber,SKC,M,30,28,2563,2016,reg
Mike Grella,NY,M,32,28,2410,2016,reg
Juan Agudelo,MIA,F,24,14,1349,2016,reg
Michael de Leeuw,CHI,F,18,17,1465,2016,reg
Juan Manuel Martínez,RSL,M-F,32,29,2519,2016,reg
CJ Sapong,CHI,F,31,29,2535,2016,reg
Sacha Kljestan,LA,M,32,30,2623,2016,reg
Lee Nguyen,MIA,M,33,33,2900,2016,reg
Ethan Finlay,MIN,M,34,27,2462,2016,reg
Dominic Oduro,MTL,M,31,22,2028,2016,reg
Diego Fagundez,NE,M,34,24,2237,2016,reg
Gyasi Zardes,CLB,F,19,17,1604,2016,reg
Mike Magee,LA ,M,30,16,1467,2016,reg
Tesho Akindele,ORL,F-M,31,15,1514,2016,reg
Dominique Badji,NSH,F,27,17,1571,2016,reg
Julio Baptista,ORL,F,23,5,729,2016,reg
Alvaro Saborio,DC ,F,19,8,890,2016,reg
Andrew Wenger,HOU,D-M,32,24,2062,2016,reg
Giles Barnes,HOU,M,24,21,1807,2016,reg
Kevin Doyle,COL,F,26,24,2178,2016,reg
Jacob Peterson,SKC,F,21,18,1500,2016,reg
Mauro Manotas,HOU,F,22,10,1054,2016,reg
Adam Jahn,ATL,F,22,4,554,2016,reg
Mauro Diaz,DAL,M,27,24,2149,2016,reg
Justin Meram,RSL,M,33,31,2605,2016,reg
Arturo Alvarez,CHI,M,30,24,1923,2016,reg
Thomas McNamara,HOU,M,30,28,2229,2016,reg
Christian Bolaños,VAN,M,27,23,2116,2016,reg
Felipe,DC,M,33,33,2898,2016,reg
Kelyn Rowe,NE,M,33,32,2787,2016,reg
Fabian Castillo,DAL,M-F,22,20,1752,2016,reg
Justin Morrow,TOR,D,31,31,2653,2016,reg
Tranquillo Barnetta,PHI,M,29,25,2311,2016,reg
Razvan Cocis,CHI,M,30,19,1901,2016,reg
Kekuta Manneh,CIN,F,17,13,1139,2016,reg
Alex,HOU,M,30,29,2476,2016,reg
Luis Solignac,CHI,F,31,24,2177,2016,reg
Simon Dawkins,SJ ,M,29,28,2402,2016,reg
Steven Mendoza,NYC,F,24,10,1139,2016,reg
Kennedy Igboananike,CHI,F,25,20,1754,2016,reg
Jack McInerney,POR,F,24,8,904,2016,reg
Lloyd Sam,DC,M-F,29,26,2025,2016,reg
Khiry Shelton,SKC,F,22,13,1159,2016,reg
Patrick Nyarko,DC,F-M,26,23,1828,2016,reg
Nicolás Lodeiro,SEA,M,13,13,1170,2016,reg
Jack Harrison,NYC,F,21,17,1574,2016,reg
Javier Morales,RSL,M,29,23,2182,2016,reg
Ricardo Clark,HOU,M,32,29,2551,2016,reg
Cristian Roldan,SEA,M,33,28,2632,2016,reg
Federico Higuain,DC,F,20,18,1607,2016,reg
Will Bruin,SEA,F,31,18,1554,2016,reg
Luke Mulholland,RSL,M,33,23,2028,2016,reg
Fabian Espindola,DC ,F,15,10,926,2016,reg
Nicolas Mezquida,COL,F-M,28,17,1395,2016,reg
Chad Marshall,SEA,D,30,30,2634,2016,reg
Walker Zimmerman,NSH,D,30,30,2700,2016,reg
Steven Gerrard,LA ,M,21,18,1491,2016,reg
Luciano Acosta,DC,M-F,31,25,2109,2016,reg
Andreas Ivanschitz,SEA,M,28,25,1910,2016,reg
Sébastien Le Toux,COL,F,32,21,1861,2016,reg
Fabian Herbers,CHI,F,32,13,1290,2016,reg
Marlon Hairston,MIN,M,21,14,1272,2016,reg
Dax McCarty,NSH,M,27,26,2268,2016,reg
Lucas Melano,POR,F,31,27,2268,2016,reg
Cristian Maidana,HOU,M,30,21,1695,2016,reg
Alberto Quintero,SJ ,M,30,29,2230,2016,reg
John Goossens,CHI,M,24,15,1288,2016,reg
Matteo Mancosu,MTL,F,15,7,772,2016,reg
Carlos Rivas,ORL,F,21,8,799,2016,reg
Osvaldo Alonso,MIN,M,32,32,2826,2016,reg
Harrison Afful,CLB,D,30,30,2567,2016,reg
Quincy Amarikwa,SJ ,F,23,22,1699,2016,reg
Adrian Winter,ORL,M-F,13,12,975,2016,reg
Jermaine Jones,COL,M,9,8,725,2016,reg
Brek Shea,MIA,D,27,22,2003,2016,reg
Steven Birnbaum,DC,D,26,26,2340,2016,reg
Alan Gordon,LA,F,22,7,710,2016,reg
Fatai Alashe,CIN,M,28,27,2335,2016,reg
Jordan Hamilton,CLB,F,14,11,911,2016,reg
Kendall Waston,CIN,D,26,26,2266,2016,reg
Gonzalo Verón,NY,M-F,23,6,631,2016,reg
Tosaint Ricketts,VAN,F,11,4,399,2016,reg
Drew Moor,COL,D,32,32,2880,2016,reg
David Horst,HOU,D,26,24,2211,2016,reg
Sebastian Hines,ORL,D,26,23,2105,2016,reg
Alex Muyl,RBNY,M,27,18,1599,2016,reg
Emmanuel Boateng,DC,M,26,17,1547,2016,reg
Jonathan Osorio,TOR,M,30,26,2440,2016,reg
Will Johnson,TOR,D,23,19,1660,2016,reg
Kellyn Acosta,COL,M,32,24,2328,2016,reg
Graham Zusi,SKC,M,21,18,1651,2016,reg
Marco Pappa,COL,M,20,10,895,2016,reg
Mauro Rosales,DAL,M,23,4,544,2016,reg
Sean Davis,RBNY,M,21,11,1108,2016,reg
Joevin Jones,SEA,D-M,33,29,2547,2016,reg
Chris Tierney,NE,D-M,28,27,2321,2016,reg
Harry Shipp,MTL,M,27,20,1596,2016,reg
Baggio Husidic,LA,M,29,16,1556,2016,reg
Marky Delgado,TOR,M,28,23,1995,2016,reg
Hassoun Camara,MTL,D,27,26,2249,2016,reg
Matt Polster,NE,D,27,24,2107,2016,reg
Keegan Rosenberry,COL,D,34,34,3060,2016,reg
Lucas Ontivero,MTL,M,21,12,980,2016,reg
Ilsinho,PHI,M,25,14,1286,2016,reg
Erik Hurtado,SKC,F,24,12,1230,2016,reg
Cristian Techera,VAN,M,29,19,1584,2016,reg
Teal Bunbury,NE,F,27,19,1666,2016,reg
Justen Glad,RSL,D,28,27,2424,2016,reg
Femi Hollinger-Janzen,NE,F,19,1,273,2016,reg
Lawrence Olum,SKC,D,19,17,1469,2016,reg
Axel Sjöberg,CLB,D,31,31,2772,2016,reg
Ken Tribbett,NSH,D,22,19,1727,2016,reg
Tony Taylor,NYC,F-M,14,7,605,2016,reg
Bobby Boswell,DC,D,30,29,2632,2016,reg
Blas Pérez,VAN,F,22,5,754,2016,reg
Chad Barrett,SJ,F,20,3,531,2016,reg
Masato Kudo,VAN,F,17,12,894,2016,reg
Brad Davis,SKC,M,24,14,1300,2016,reg
Gideon Baah,NY,D,9,6,467,2016,reg
Michael Salazar,HOU,F,17,8,711,2016,reg
Jordan Harvey,LAFC,D,28,28,2520,2016,reg
Ronald Zubar,NY,D,21,19,1593,2016,reg
Victor Ulloa,MIA,M,32,18,1639,2016,reg
Richie Marquez,PHI,D,33,33,2970,2016,reg
Vincent Nogueira,PHI,M,8,8,684,2016,reg
Jámison Olave,RSL,D,17,16,1482,2016,reg
Andrew Jacobson,NYC,M,26,18,1751,2016,reg
Rob Vincent,DC,M-F,20,12,1137,2016,reg
Ryan Hollingshead,DAL,M,29,22,2024,2016,reg
Octavio Rivero,VAN,F,12,9,757,2016,reg
Tsubasa Endoh,TOR,M,21,15,1387,2016,reg
Jared Jeffrey,DC,M,21,14,1314,2016,reg
Andrea Pirlo,NYC,M,32,32,2770,2016,reg
Sebastian Lletget,LA,M,31,23,2057,2016,reg
RJ Allen,NYC,D,24,19,1751,2016,reg
Taylor Kemp,DC,D,31,30,2745,2016,reg
Michael Bradley,TOR,M,24,24,2160,2016,reg
Shea Salinas,SJ,M,33,8,1223,2016,reg
Ronald Matarrita,NYC,D,25,23,1988,2016,reg
Darlington Nagbe,CLB,M,27,27,2416,2016,reg
Roger Espinoza,SKC,M,30,30,2679,2016,reg
Julian Buescher,DC,M,20,3,584,2016,reg
Dillon Powers,COL,M,29,24,2122,2016,reg
Ike Opara,MIN,D,25,16,1542,2016,reg
Darren Mattocks,POR,F,19,12,940,2016,reg
Tony Tchani,CLB,M,21,20,1791,2016,reg
Sam Cronin,COL,M,33,33,2924,2016,reg
Sean Franklin,DC,D,29,29,2494,2016,reg
Robbie Rogers,LA,D,21,19,1655,2016,reg
Jack Jewsbury,POR,M,23,17,1503,2016,reg
Atiba Harris,DAL,D,28,22,1970,2016,reg
Mix Diskerud,NYC,M,12,9,812,2016,reg
Marcelo Sarvas,DC,M,28,26,2247,2016,reg
Anibal Godoy,NSH,M-D,23,23,1941,2016,reg
Jimmy Medranda ,NSH,D,28,22,1939,2016,reg
Matt Besler,SKC,D,18,17,1546,2016,reg
Hernan Bernardello,MTL,M,12,11,991,2016,reg
Zarek Valentin,HOU,D,20,18,1607,2016,reg
Damien Perquis,TOR,D,12,11,986,2016,reg
Álvaro Fernández,SEA,M,10,8,530,2016,reg
Nat Borchers,POR,D,21,21,1812,2016,reg
Joey Calistri,CHI,M,14,2,348,2016,reg
Kevin Ellis,SKC,D,14,10,953,2016,reg
Daniel Royer,RBNY,M,6,3,275,2016,reg
Leonel Miranda,HOU,M,12,3,484,2016,reg
Daniel Steres ,LA,D,31,29,2656,2016,reg
Jonathan Campbell,CHI,D,33,30,2823,2016,reg
Brad Evans,SEA,D-M,23,21,1866,2016,reg
Jeff Larentowicz,ATL,M,23,17,1501,2016,reg
Je-Vaughn Watson,NE,D,23,19,1705,2016,reg
Cristian Higuita,ORL,M,21,16,1513,2016,reg
Sunday Stephen,RSL,M,15,15,1115,2016,reg
Charlie Davies,NE ,F,17,3,371,2016,reg
Víctor Bernárdez,SJ ,D,33,33,2835,2016,reg
Dilly Duka,CLB,M,15,5,604,2016,reg
Connor Lade,NY,D,18,15,1380,2016,reg
Johan Venegas,MTL,M,20,7,683,2016,reg
Olmes Garcia,RSL,F,24,9,964,2016,reg
Nuno Andre Coelho,SKC,D,22,20,1618,2016,reg
Carlos Ruiz,DAL,F,1,0,13,2016,reg
Maxim Tissot,MTL,D,7,5,517,2016,reg
Kwadwo Poku,NYC,M,7,3,268,2016,reg
Steven Taylor,POR,D,9,9,810,2016,reg
Landon Donovan,LA ,M-F,6,2,233,2016,reg
Cristian Martinez,CLB,M,5,2,197,2016,reg
Dillon Serna,COL,M,9,3,280,2016,reg
DaMarcus Beasley,HOU,D,24,24,1979,2016,reg
Vytas,POR,D,11,10,916,2016,reg
Jefferson Mena,NYC,D,16,16,1306,2016,reg
London Woodberry,NE,D,25,23,2068,2016,reg
Alhaji Kamara,DC,F,8,2,173,2016,reg
Anthony Jackson-Hamel,MTL,F,7,1,171,2016,reg
Ashley Cole,LA,D,26,25,2227,2016,reg
Bobby Burling,COL,D,16,16,1415,2016,reg
Alejandro Bedoya,PHI,M,10,10,844,2016,reg
Matt Hedges,DAL,D,26,26,2334,2016,reg
Kyle Bekker,MTL,M,18,13,1139,2016,reg
Jack Barmby,POR,M-D,19,2,381,2016,reg
Frederic Brillant,DC,D,31,31,2790,2016,reg
Cedrick Mabwati,CLB,M,17,6,593,2016,reg
Liam Ridgewell,POR,D,22,22,1980,2016,reg
Daigo Kobayashi,NE,M,27,6,701,2016,reg
Diego Rubio,COL,F,15,3,330,2016,reg
Raul Rodriguez,HOU,D,25,24,2128,2016,reg
Brian Carroll,PHI,M,26,23,2094,2016,reg
Dairon Asprilla,POR,M-F,9,6,488,2016,reg
Aaron Kovar,SEA,M,16,10,811,2016,reg
Khaly Thiam,CHI,M,20,15,1285,2016,reg
Nick DeLeon,TOR,M,32,27,2509,2016,reg
Boniek Garcia,HOU,M,31,24,2249,2016,reg
Fabinho,PHI,D,29,29,2517,2016,reg
Saad Abdul-Salaam,CIN,D,30,26,2377,2016,reg
Demar Phillips,RSL,D,29,23,2177,2016,reg
Ambroise Oyongo,MTL,D,27,26,2316,2016,reg
Mohammed Saeid,CLB,M,25,24,2016,2016,reg
Mekeil Williams,COL,D,21,17,1468,2016,reg
Corey Ashe,CLB,M,18,14,1214,2016,reg
Marco Donadel,MTL,M,21,18,1515,2016,reg
Gershon Koffie,NE ,M,22,19,1545,2016,reg
Jelle Van Damme,LA,D,28,28,2436,2016,reg
Marc Burch,COL,D,28,27,2443,2016,reg
Rafael Ramos,ORL,D,12,12,1015,2016,reg
Waylon Francis,CLB,D,19,13,1233,2016,reg
Luke Boden,ORL,D,20,19,1613,2016,reg
Tony Beltran,RSL,D,29,27,2468,2016,reg
Brandon Vincent,CHI,D,26,24,2191,2016,reg
Scott Caldwell,NE,M,32,31,2622,2016,reg
Rodrigo Ramos,CHI,D,21,16,1484,2016,reg
Jermaine Taylor,POR,D,23,21,1841,2016,reg
Matías Pérez García,ORL,F,27,19,1635,2016,reg
Michael Parkhurst,CLB,D,34,34,3036,2016,reg
Michael Stephens,CHI,M,17,11,948,2016,reg
Mark Bloom,TOR,D,7,5,339,2016,reg
Tyrone Mears,SEA,D,32,32,2835,2016,reg
Donny Toia,RSL,D,17,15,1365,2016,reg
Nicolai Naess,CLB,D,13,13,1156,2016,reg
Chris Duvall,POR,D,25,20,1889,2016,reg
Cordell Cato,SJ ,F,21,15,1391,2016,reg
Aurelien Collin,PHI,D,25,22,2067,2016,reg
Armando Cooper,TOR,M,6,4,390,2016,reg
Servando Carrasco,ORL,M,31,21,2001,2016,reg
Erik Friberg,SEA,M,25,18,1582,2016,reg
Jay Chapman,MIA,M,18,9,780,2016,reg
Benoit Cheyrou,TOR,M,14,9,800,2016,reg
Sal Zizzo,NY,D,28,20,1920,2016,reg
Gilberto,CHI,F,9,8,641,2016,reg
Carlos Gruezo,DAL,M,27,26,2240,2016,reg
Darwin Ceren,HOU,M,28,23,2113,2016,reg
Kip Colvey,SJ ,M,4,3,315,2016,reg
Marvell Wynne,SJ ,D,32,31,2769,2016,reg
Chance Myers,SKC,D,11,6,559,2016,reg
Dave Romney,NSH,D,10,8,730,2016,reg
Hadji Barry,ORL,F,8,4,293,2016,reg
Oniel Fisher,DC,D,6,2,232,2016,reg
Dennis Castillo,COL,D,4,1,123,2016,reg
Walter Restrepo,PHI,M,4,0,81,2016,reg
Michael Harrington,CHI,D,19,16,1291,2016,reg
Raymon Gaddis,PHI,D,7,5,514,2016,reg
Josh Williams,CLB,D,15,11,918,2016,reg
Steven Beitashour,TOR,D,29,29,2563,2016,reg
Eric Alexander,HOU,M,22,15,1374,2016,reg
Andoni Iraola,NYC,D,29,25,2180,2016,reg
Andrew Farrell,NE,D,33,32,2891,2016,reg
Diego Martinez,NYC,D,4,2,263,2016,reg
Eriq Zavaleta,TOR,D,15,14,1277,2016,reg
Warren Creavalle,PHI,M,27,21,1807,2016,reg
Jordi Quintilla,SKC,M,6,6,410,2016,reg
Sheanon Williams,HOU,D-M,22,20,1807,2016,reg
Patrice Bernier,MTL,M,20,13,1185,2016,reg
Paulo Nagamura,SKC,M,9,6,526,2016,reg
John Stertzer,RSL,M,18,9,777,2016,reg
Joao Meira,CHI,D-M,28,26,2284,2016,reg
Alvas Powell,MIA,D,23,23,2015,2016,reg
Federico Bravo,NYC,M,21,11,1096,2016,reg
Eric Miller,NSH,D,26,23,2118,2016,reg
Nick LaBrocca,CHI,M,12,5,514,2016,reg
Jordan Stewart,SJ ,D-M,15,14,1221,2016,reg
Diego Chara,POR,M,30,30,2600,2016,reg
Wil Trapp,MIA,M,30,29,2543,2016,reg
Molham Babouli,TOR,F,16,6,647,2016,reg
Mikey Lopez,NYC,M,15,6,672,2016,reg
Leo Fernandes,PHI,M,12,2,256,2016,reg
Jalil Anibaba,NSH,D,30,28,2614,2016,reg
Ben Zemanski,POR,M,16,11,1010,2016,reg
Collen Warner,COL,M,24,24,1979,2016,reg
Micheal Azira,CHI,M,31,28,2503,2016,reg
Hector Jimenez,CLB,M,25,14,1239,2016,reg
Henok Goitom,SJ ,F,8,3,416,2016,reg
Chris Rolfe,DC,F,9,9,643,2016,reg
Erick Torres,HOU,F,11,4,401,2016,reg
Connor Hallisey,SKC,F,17,12,1072,2016,reg
Maynor Figueroa,HOU,D,28,28,2434,2016,reg
Nelson Valdez,SEA,F,24,8,900,2016,reg
Kyle Beckerman,RSL,M,27,27,2367,2016,reg
Sean St. Ledger,COL,D,0,0,0,2016,reg
Conor Casey,CLB,F,4,0,35,2016,reg
Nathan Sturgis,SEA,M,0,0,0,2016,reg
Mehdi Ballouchy,NYC,M,4,1,145,2016,reg
Jason Hernandez,NYC,D,31,26,2292,2016,reg
Maurice Edu,PHI,M,0,0,0,2016,reg
Steven Lenhart,SJ ,F,0,0,0,2016,reg
Markus Halsti,DC ,M-D,0,0,0,2016,reg
Andrea Mancini,DC ,F,0,0,0,2016,reg
Xavier Kouassi,NE ,M,0,0,0,2016,reg
Juan Ramirez,COL,M,0,0,0,2016,reg
Marc Pelosi,SJ ,M,0,0,0,2016,reg
Paul Clowes,DC ,M,0,0,0,2016,reg
Ever Alvarado,HON,D,1,0,29,2016,reg
Rafael Garcia ,LA,D,6,2,269,2016,reg
Eric Gehrig,CHI,D,5,3,259,2016,reg
Zach Pfeffer,COL,M,0,0,0,2016,reg
Chris Korb,DC ,D,0,0,0,2016,reg
Michael Farfan,SEA,M,1,0,26,2016,reg
Ethan White,NYC,D,13,7,676,2016,reg
Moises Hernandez,DAL,D,0,0,0,2016,reg
Zach Loyd,DAL,D,12,10,919,2016,reg
Emil Larsen,CLB,M,3,0,31,2016,reg
Leonardo,LA ,D,4,4,360,2016,reg
Amobi Okugo,POR,D-M,4,2,227,2016,reg
Aubrey David,DAL,D,5,4,363,2016,reg
Kevin Kratz,PHI,M,0,0,0,2016,reg
Andres Romero,MTL,M,0,0,0,2016,reg
Norberto Paparatto,DAL,D,0,0,0,2016,reg
Michael Gamble,NE ,F,0,0,0,2016,reg
Jalen Robinson,DC,D,4,3,271,2016,reg
Collin Martin,DC,M,2,1,91,2016,reg
Andy Craven,SEA,F,0,0,0,2016,reg
Juan Esteban Ortiz,DAL,M,5,2,171,2016,reg
Boyd Okwuonu,RSL,D,2,1,92,2016,reg
Chris Klute,POR,D,8,8,709,2016,reg
Benji Joya,SKC,M,0,0,0,2016,reg
Chad Barson,CLB,D,7,3,326,2016,reg
Michael Seaton,POR,F,0,0,0,2016,reg
Mikey Ambrose,MIA,D,5,4,405,2016,reg
Oscar Sorto,LA ,D,0,0,0,2016,reg
Gbenga Arokoyo,POR,D,1,0,23,2016,reg
Jose Villarreal,LA ,M,3,0,17,2016,reg
Kevin Garcia,HOU,D,0,0,0,2016,reg
Cole Seiler,VAN,D,2,2,180,2016,reg
Zach Carroll,NY,D,0,0,0,2016,reg
Brandon Allen,NY,F,1,0,7,2016,reg
Sebastien Ibeagha,NYC,D,0,0,0,2016,reg
Christian Dean,VAN,D,0,0,0,2016,reg
Phanuel Kavita,RSL,D,1,1,90,2016,reg
Kyle Fisher,MTL,D,2,2,180,2016,reg
Sam Adekugbe,VAN,D,2,1,111,2016,reg
Jeremy Gagnon-Lapare,MTL,M,0,0,0,2016,reg
Andy Thoma,POR,D,0,0,0,2016,reg
Devron Garcia,ORL,M-D,0,0,0,2016,reg
Mark Sherrod,SJ ,F,0,0,0,2016,reg
Alex Zendejas,DAL,M,0,0,0,2016,reg
Darwin Jones,SEA,F,2,0,22,2016,reg
Taylor Peay,POR,D,2,1,109,2016,reg
Emery Welshman,RSL,F,0,0,0,2016,reg
Emilio Orozco,RSL,D,0,0,0,2016,reg
Harrison Heath,ORL,M,3,3,223,2016,reg
Ricardo Velazco,RSL,F,0,0,0,2016,reg
Aaron Long,RBNY,D,0,0,0,2016,reg
Connor Brandt,NYC,M-D,0,0,0,2016,reg
Paxton Pomykal,DAL,M,0,0,0,2016,reg
Amro Tarek,RBNY,D,1,0,2,2016,reg
Derrick Jones,NSH,M,0,0,0,2016,reg
Brett Levis,VAN,D,1,0,6,2016,reg
Cole Missimo,PHI,M,0,0,0,2016,reg
Shannon Gomez,NYC,D,0,0,0,2016,reg
Agustin Jara,DAL,D,3,0,12,2016,reg
Pedro Baez,RSL,F,1,0,5,2016,reg
Drew Conner,CHI,M,0,0,0,2016,reg
Derrick Etienne Jr.,CLB,M,1,0,4,2016,reg
Ben Polk,POR,F,0,0,0,2016,reg
Rodrigo Saravia,CLB,M,10,1,208,2016,reg
Jordan McCrary,NE ,D,0,0,0,2016,reg
Daniel Salloi,SKC,F,0,0,0,2016,reg
Christian Lucatero,HOU,M,0,0,0,2016,reg
Danilo Acosta,LA,D,0,0,0,2016,reg
Taylor Washington,NSH,D,0,0,0,2016,reg
Aaron Guillen,DAL,D,2,1,106,2016,reg
Marshall Hollingsworth,CLB,M,0,0,0,2016,reg
Richie Laryea,TOR,M,0,0,0,2016,reg
Zach Steinberger,HOU,M,0,0,0,2016,reg
Cameron Porter,MTL,F,2,0,32,2016,reg
Joseph Greenspan,COL,D,1,0,1,2016,reg
Tyler Adams,NY,M,1,1,45,2016,reg
Chris Mannella,TOR,M,0,0,0,2016,reg
Romario Williams,MTL,F,0,0,0,2016,reg
Anthony Manning,POR,D,0,0,0,2016,reg
Colin Bonner,DAL,F,1,1,27,2016,reg
Bradley Bourgeois,HOU,D,0,0,0,2016,reg
Neco Brett,POR,M,1,0,1,2016,reg
Chris Durkin,DC ,M,0,0,0,2016,reg
Clément Simonin,TOR,D,0,0,0,2016,reg
Zachary Herivaux,NE,M,5,0,38,2016,reg
Ben McKendry,VAN,M,0,0,0,2016,reg
Coy Craft,DAL,F-M,2,0,17,2016,reg
Bryan Róchez,ORL,F,0,0,0,2016,reg
Andrew Brody,RSL,F,0,0,0,2016,reg
Tyler Turner,ORL,D,0,0,0,2016,reg
Tommy Redding,ORL,D,18,16,1346,2016,reg
Victor Mansaray,SEA,F,0,0,0,2016,reg
Ben Swanson,CLB,M,1,0,16,2016,reg
Auston Trusty,COL,D,0,0,0,2016,reg
Fito Ovalle,RSL,M,0,0,0,2016,reg
Patrick Doody,CHI,D,0,0,0,2016,reg
Conor Donovan,ORL,D,0,0,0,2016,reg
Josh Yaro,PHI,D,17,15,1327,2016,reg
Nick Besler,RSL,M,0,0,0,2016,reg
Miguel Aguilar,DC ,M,6,0,90,2016,reg
Collin Fernandez,CHI,M,2,0,8,2016,reg
Victor Cabrera,HOU,D,23,21,1925,2016,reg
Keyner Brown,HOU,D,4,3,285,2016,reg
Amadou Dia,SKC,D,11,10,907,2016,reg
Matheus Silva,SJ ,D,4,2,139,2016,reg
Rob Lovejoy,HOU,F,2,0,14,2016,reg
Luke Mishu,DC ,D,7,5,448,2016,reg
Yair Arboleda,HOU,M,1,1,62,2016,reg
Tony Alfaro,SEA,D,6,1,286,2016,reg
Emmanuel Appiah,COL,M,1,1,90,2016,reg
Timo Pitter,DAL,M-F,1,0,9,2016,reg
Samba,NE ,D,2,1,91,2016,reg
Raheem Edwards,MIN,M,1,0,2,2016,reg
Dylan Remick,SEA,D,11,6,537,2016,reg
